Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),field
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.788,AHR2
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.369,AHR2
Ada Boost Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.356,AHR2
Gradient Boosting Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.046,AHR2
Decision Tree Classifier,0.9999,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998,0.043,AHR2
Extra Trees Classifier,0.9993,1.0,0.9989,0.9997,0.9993,0.9986,0.9986,0.27,ATT
Random Forest Classifier,0.9987,1.0,0.9978,0.9996,0.9987,0.9973,0.9973,0.499,ATT
Decision Tree Classifier,0.9977,0.9977,0.998,0.9974,0.9977,0.9954,0.9954,0.038,ATT
Gradient Boosting Classifier,0.9931,0.9996,0.9921,0.9942,0.9932,0.9862,0.9862,0.752,ATT
Ada Boost Classifier,0.983,0.9988,0.9856,0.9808,0.9832,0.9659,0.966,0.191,ATT
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,BARO
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.431,BARO
Decision Tree Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023,BARO
Ada Boost Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.273,BARO
Gradient Boosting Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.082,BARO
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.376,BAT
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,BAT
Ada Boost Classifier,1.0,1.0,0.9999,1.0,1.0,0.9999,0.9999,0.292,BAT
Decision Tree Classifier,0.9999,0.9999,0.9998,0.9999,0.9999,0.9997,0.9997,0.039,BAT
Gradient Boosting Classifier,0.9999,1.0,0.9999,1.0,0.9999,0.9999,0.9999,1.593,BAT
Extra Trees Classifier,0.7691,0.8415,0.7789,0.7674,0.773,0.5381,0.5383,0.062,CANS
Random Forest Classifier,0.756,0.8262,0.7668,0.7542,0.7603,0.512,0.5122,0.151,CANS
Decision Tree Classifier,0.7285,0.7284,0.7324,0.7307,0.7314,0.4569,0.4572,0.02,CANS
Gradient Boosting Classifier,0.5695,0.6151,0.867,0.5463,0.6698,0.1339,0.1705,0.093,CANS
Ada Boost Classifier,0.539,0.5687,0.8982,0.5253,0.6629,0.0714,0.104,0.031,CANS
Extra Trees Classifier,0.9962,0.9996,0.9967,0.9957,0.9962,0.9923,0.9923,0.237,CTRL
Random Forest Classifier,0.9956,0.9994,0.9957,0.9955,0.9956,0.9912,0.9912,1.088,CTRL
Decision Tree Classifier,0.9928,0.9928,0.9929,0.9928,0.9929,0.9856,0.9856,0.067,CTRL
Gradient Boosting Classifier,0.9928,0.9993,0.9933,0.9924,0.9928,0.9855,0.9855,1.673,CTRL
Ada Boost Classifier,0.9875,0.9986,0.9891,0.9862,0.9876,0.975,0.975,0.284,CTRL
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.616,CTUN
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.267,CTUN
Decision Tree Classifier,0.9994,0.9994,0.9995,0.9992,0.9994,0.9987,0.9987,0.059,CTUN
Gradient Boosting Classifier,0.9994,1.0,0.9998,0.9991,0.9994,0.9988,0.9988,2.088,CTUN
Ada Boost Classifier,0.9979,0.9999,0.9984,0.9974,0.9979,0.9958,0.9958,0.375,CTUN
Random Forest Classifier,0.9737,0.9955,0.9809,0.9674,0.9741,0.9474,0.9475,0.543,DCM
Extra Trees Classifier,0.9731,0.9959,0.9834,0.9641,0.9737,0.9463,0.9465,0.226,DCM
Decision Tree Classifier,0.9633,0.9633,0.9626,0.9646,0.9636,0.9266,0.9266,0.038,DCM
Gradient Boosting Classifier,0.9583,0.9914,0.9763,0.9432,0.9595,0.9167,0.9172,0.97,DCM
Ada Boost Classifier,0.9412,0.9846,0.9581,0.9277,0.9427,0.8823,0.8828,0.23,DCM
Random Forest Classifier,0.6052,0.6581,0.5376,0.6275,0.5788,0.2115,0.2139,0.102,DSF
Decision Tree Classifier,0.5707,0.5705,0.5813,0.5739,0.5774,0.1411,0.1412,0.007,DSF
Extra Trees Classifier,0.6002,0.6551,0.5365,0.6206,0.5754,0.2014,0.2034,0.063,DSF
Ada Boost Classifier,0.6021,0.6566,0.4356,0.661,0.5247,0.2069,0.2204,0.021,DSF
Gradient Boosting Classifier,0.6121,0.6634,0.3922,0.7101,0.505,0.2277,0.2551,0.059,DSF
Random Forest Classifier,0.5055,0.4995,0.9901,0.5052,0.669,0.0016,0.0088,0.038,DU32
Gradient Boosting Classifier,0.506,0.5004,0.9888,0.5055,0.6689,0.0025,0.0127,0.013,DU32
Extra Trees Classifier,0.5062,0.5004,0.9879,0.5056,0.6688,0.003,0.0149,0.029,DU32
Decision Tree Classifier,0.5062,0.5004,0.9879,0.5056,0.6688,0.003,0.0149,0.004,DU32
Ada Boost Classifier,0.5058,0.5007,0.9881,0.5054,0.6687,0.0023,0.011,0.015,DU32
Random Forest Classifier,0.9944,0.9997,0.9931,0.9959,0.9945,0.9888,0.9888,0.855,FTN1
Extra Trees Classifier,0.9942,0.9997,0.9923,0.9961,0.9942,0.9884,0.9884,0.384,FTN1
Gradient Boosting Classifier,0.9925,0.9995,0.9922,0.9929,0.9925,0.985,0.985,2.328,FTN1
Decision Tree Classifier,0.9874,0.9874,0.9876,0.9874,0.9875,0.9748,0.9748,0.101,FTN1
Ada Boost Classifier,0.9863,0.9988,0.9855,0.9874,0.9864,0.9726,0.9726,0.432,FTN1
Random Forest Classifier,0.9943,0.9997,0.9946,0.994,0.9943,0.9885,0.9885,7.072,FTN2
Extra Trees Classifier,0.9938,0.9997,0.9946,0.993,0.9938,0.9875,0.9875,3.348,FTN2
Gradient Boosting Classifier,0.9906,0.9995,0.9921,0.9894,0.9907,0.9813,0.9813,13.405,FTN2
Decision Tree Classifier,0.9883,0.9883,0.9886,0.9883,0.9884,0.9766,0.9766,0.758,FTN2
Ada Boost Classifier,0.9815,0.9983,0.9839,0.9796,0.9817,0.9631,0.9631,2.721,FTN2
Random Forest Classifier,1.0,1.0,1.0,0.9999,1.0,0.9999,0.9999,0.247,GPA
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.191,GPA
Decision Tree Classifier,0.9999,0.9999,0.9998,0.9999,0.9999,0.9997,0.9997,0.139,GPA
Gradient Boosting Classifier,0.9983,1.0,0.9988,0.9978,0.9983,0.9966,0.9966,0.292,GPA
Ada Boost Classifier,0.9814,0.9986,0.9833,0.9799,0.9816,0.9627,0.9627,0.093,GPA
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.119,GPS
Extra Trees Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.074,GPS
Decision Tree Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011,GPS
Ada Boost Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014,GPS
Gradient Boosting Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.225,GPS
Gradient Boosting Classifier,0.7927,0.8938,0.7899,0.7976,0.7936,0.5853,0.5856,0.35,HEAT
Random Forest Classifier,0.7723,0.8765,0.7697,0.7771,0.7733,0.5445,0.5447,0.091,HEAT
Ada Boost Classifier,0.7614,0.8608,0.763,0.764,0.7633,0.5227,0.523,0.026,HEAT
Extra Trees Classifier,0.7614,0.8456,0.7569,0.7674,0.7619,0.5228,0.523,0.055,HEAT
Decision Tree Classifier,0.7525,0.7529,0.7506,0.7572,0.7538,0.505,0.5052,0.006,HEAT
Extra Trees Classifier,0.9921,0.9996,0.9926,0.9918,0.9922,0.9842,0.9842,2.139,IMU
Random Forest Classifier,0.9907,0.9995,0.9905,0.991,0.9907,0.9813,0.9813,2.902,IMU
Decision Tree Classifier,0.9847,0.9847,0.9846,0.985,0.9848,0.9693,0.9693,0.46,IMU
Gradient Boosting Classifier,0.9829,0.9984,0.9864,0.9799,0.9831,0.9658,0.9658,6.887,IMU
Ada Boost Classifier,0.9782,0.9976,0.9818,0.9751,0.9785,0.9564,0.9564,1.689,IMU
Ada Boost Classifier,0.6995,0.6915,0.9844,0.6294,0.7679,0.3957,0.483,0.023,IOMC
Gradient Boosting Classifier,0.6966,0.679,0.9799,0.6278,0.7653,0.3897,0.4742,0.062,IOMC
Random Forest Classifier,0.5899,0.6417,0.6622,0.5827,0.6198,0.1785,0.1803,0.336,IOMC
Decision Tree Classifier,0.6027,0.6027,0.6084,0.6063,0.6072,0.2053,0.2054,0.032,IOMC
Extra Trees Classifier,0.5858,0.6666,0.6223,0.5845,0.6027,0.171,0.1714,0.238,IOMC
Extra Trees Classifier,0.966,0.9956,0.9632,0.9693,0.9663,0.9321,0.9321,0.286,MAG
Random Forest Classifier,0.9632,0.9947,0.9611,0.9659,0.9635,0.9264,0.9265,0.433,MAG
Decision Tree Classifier,0.9499,0.9499,0.9503,0.9506,0.9504,0.8999,0.8999,0.037,MAG
Gradient Boosting Classifier,0.9456,0.9901,0.9367,0.9546,0.9456,0.8911,0.8913,0.935,MAG
Ada Boost Classifier,0.9224,0.9786,0.9129,0.932,0.9224,0.8448,0.845,0.208,MAG
Gradient Boosting Classifier,0.5036,0.5107,0.5548,0.5071,0.5223,0.0059,0.006,0.009,MAVC
Random Forest Classifier,0.5108,0.5107,0.5191,0.514,0.5157,0.0215,0.0217,0.031,MAVC
Extra Trees Classifier,0.5108,0.5107,0.5191,0.514,0.5157,0.0215,0.0217,0.025,MAVC
Decision Tree Classifier,0.5108,0.5107,0.5191,0.514,0.5157,0.0215,0.0217,0.004,MAVC
Ada Boost Classifier,0.5108,0.5107,0.5191,0.514,0.5157,0.0215,0.0217,0.01,MAVC
Extra Trees Classifier,0.9647,0.9871,0.964,0.966,0.965,0.9294,0.9294,0.079,MAV
