field,feature,shap_ratio
AHR2,Lat,0.25838343793423235
AHR2,Alt,0.23942269083122808
AHR2,Roll,0.12313436872112345
AHR2,Lng,0.11734126804314786
AHR2,Yaw,0.10623730505584986
AHR2,Q1,0.06224428444660186
AHR2,Q4,0.044129709762300746
AHR2,Q2,0.030621723268631818
AHR2,Q3,0.01582476742385881
AHR2,Pitch,0.002660444513025025
ATT,DesYaw,0.2528939488151156
ATT,Yaw,0.24372817729707197
ATT,Roll,0.22774885402481101
ATT,DesRoll,0.16878142587291553
ATT,Pitch,0.045357768118882646
ATT,DesPitch,0.040407559247419886
ATT,ErrRP,0.012761461170744334
ATT,ErrYaw,0.008320805453039027
ATT,AEKF,0.0
BARO,Press,0.7125195530198171
BARO,Temp,0.1594461558976449
BARO,GndTemp,0.10058516786802421
BARO,Alt,0.01638904728653272
BARO,SMS,0.010174778641249013
BARO,CRt,0.0008852972867319771
BARO,I,0.0
BARO,Offset,0.0
BARO,Health,0.0
BAT,EnrgTot,0.30503988222784084
BAT,CurrTot,0.2602831523235493
BAT,Curr,0.21909737055632153
BAT,Res,0.09283710579647865
BAT,Volt,0.06887541739381565
BAT,VoltR,0.05386707170199393
BAT,Inst,0.0
BAT,Temp,0.0
BAT,RemPct,0.0
BAT,H,0.0
BAT,SH,0.0
CANS,R,0.3748077533521772
CANS,Trq,0.31518554701532886
CANS,T,0.31000669963249394
CANS,I,0.0
CANS,Trej,0.0
CANS,Tov,0.0
CANS,Tto,0.0
CANS,Tab,0.0
CANS,Rov,0.0
CANS,Rer,0.0
CANS,Bo,0.0
CANS,Etx,0.0
CANS,Stx,0.0
CANS,Ftx,0.0
CTRL,RMSPitchD,0.4345435031729512
CTRL,RMSRollD,0.4287025124739372
CTRL,RMSPitchP,0.06441192229845163
CTRL,RMSRollP,0.05454982658148595
CTRL,RMSYaw,0.017792235473173924
CTUN,SAlt,0.43762996247507496
CTUN,DAlt,0.1624452699958394
CTUN,Alt,0.11517596253804452
CTUN,ThH,0.11294329384478569
CTUN,TAlt,0.07310501802609135
CTUN,ThO,0.023819119104121222
CTUN,ThI,0.022415198670023617
CTUN,ABst,0.022315290348788812
CTUN,BAlt,0.02085582422564681
CTUN,DCRt,0.00929506077158362
CTUN,DSAlt,0.0
CTUN,CRt,0.0
DCM,Roll,0.5333612770450364
DCM,Yaw,0.34938583093367886
DCM,Pitch,0.11725289202128478
